ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1750,California,Imperial,Bard,32.789167,-114.555278
1805,California,Imperial,Brawley,32.979181,-115.529613
1829,California,Imperial,Calexico,32.683227,-115.502815
1834,California,Imperial,Calipatria,33.166956,-115.511402
2009,California,Imperial,"El Centro",32.789332,-115.566508
2148,California,Imperial,Heber,32.698918,-115.428281
2164,California,Imperial,Holtville,32.810387,-115.377456
2183,California,Imperial,Imperial,32.846954,-115.572984
2434,California,Imperial,Niland,33.378373,-115.696455
2463,California,Imperial,Ocotillo,32.738611,-115.993333
2496,California,Imperial,"Palo Verde",33.432778,-114.731389
2632,California,Imperial,"Salton City",33.298611,-115.955278
2696,California,Imperial,Seeley,32.793056,-115.690278
2881,California,Imperial,Westmorland,33.041058,-115.630723
2901,California,Imperial,Winterhaven,32.832922,-114.636634
