ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1690,California,Riverside,Aguanga,33.447306,-116.799693
1718,California,Riverside,Anza,33.568812,-116.71355
1749,California,Riverside,Banning,33.92816,-116.889928
1755,California,Riverside,Beaumont,33.950429,-116.970079
1789,California,Riverside,Blythe,33.605715,-114.597131
1827,California,Riverside,Cabazon,33.908583,-116.773948
1833,California,Riverside,Calimesa,33.994586,-117.04304
1877,California,Riverside,"Cathedral City",33.809839,-116.466497
1913,California,Riverside,Coachella,33.674965,-116.177231
1930,California,Riverside,Corona,33.8815,-117.6078
1972,California,Riverside,"Desert Center",33.604941,-115.052603
1973,California,Riverside,"Desert Hot Springs",33.904973,-116.366222
2151,California,Riverside,Hemet,33.741613,-116.972974
2166,California,Riverside,Homeland,33.74528,-117.111845
2181,California,Riverside,Idyllwild,33.730433,-116.710665
2186,California,Riverside,"Indian Wells",33.716334,-116.338129
2187,California,Riverside,Indio,33.721899,-116.235729
2240,California,Riverside,"La Quinta",34.3278,-118.6406
2251,California,Riverside,"Lake Elsinore",33.659816,-117.348535
2333,California,Riverside,"March Air Reserve Base",33.895556,-117.276111
2354,California,Riverside,Mecca,33.571667,-116.076389
2357,California,Riverside,Menifee,33.664744,-117.1743
2373,California,Riverside,"Mira Loma",33.993845,-117.523574
2395,California,Riverside,"Moreno Valley",33.8858,-117.2211
2407,California,Riverside,"Mountain Center",33.531667,-116.581954
2413,California,Riverside,Murrieta,33.563071,-117.273838
2437,California,Riverside,Norco,33.94,-117.553333
2443,California,Riverside,"North Palm Springs",33.900278,-116.527222
2449,California,Riverside,Nuevo,33.807712,-117.118704
2491,California,Riverside,"Palm Desert",33.7611,-116.3249
2492,California,Riverside,"Palm Springs",33.841406,-116.53466
2516,California,Riverside,Perris,33.797535,-117.280005
2576,California,Riverside,"Rancho Mirage",33.764284,-116.422451
2612,California,Riverside,Riverside,33.9924,-117.369421
2650,California,Riverside,"San Jacinto",33.783889,-116.957778
2764,California,Riverside,"Sun City",33.744518,-117.171899
2786,California,Riverside,Temecula,33.4936,-117.1475
2792,California,Riverside,Thermal,33.543418,-116.11584
2795,California,Riverside,"Thousand Palms",33.808158,-116.371305
2886,California,Riverside,"White Water",33.927591,-116.693154
2890,California,Riverside,Wildomar,33.602115,-117.263953
2898,California,Riverside,Winchester,33.624269,-117.088518
